period_start,period_end,period_label,predicted_transactions,transaction_lower,transaction_upper,predicted_quantity_sold,quantity_lower,quantity_upper
2025-12-29,2026-01-04,2025-12-29 to 2026-01-04,142,112,171,4031,3315,4870
2026-01-05,2026-01-11,2026-01-05 to 2026-01-11,245,189,292,6874,5497,8276
2026-01-12,2026-01-18,2026-01-12 to 2026-01-18,283,231,338,7659,6355,9125
2026-01-19,2026-01-25,2026-01-19 to 2026-01-25,264,211,315,6713,5278,8035
2026-01-26,2026-02-01,2026-01-26 to 2026-02-01,268,214,320,7036,5636,8350
2026-02-02,2026-02-08,2026-02-02 to 2026-02-08,260,212,317,7462,6200,9005
2026-02-09,2026-02-15,2026-02-09 to 2026-02-15,244,201,307,6554,5158,7866
2026-02-16,2026-02-22,2026-02-16 to 2026-02-22,225,181,289,5893,4530,7269
2026-02-23,2026-03-01,2026-02-23 to 2026-03-01,198,152,256,5494,4162,6919
2026-03-02,2026-03-08,2026-03-02 to 2026-03-08,153,105,209,3668,2402,5194
2026-03-09,2026-03-15,2026-03-09 to 2026-03-15,114,62,169,2485,1127,3874
2026-03-16,2026-03-22,2026-03-16 to 2026-03-22,104,49,155,1902,455,3206
2026-03-23,2026-03-29,2026-03-23 to 2026-03-29,144,92,199,2829,1469,4162
2026-03-30,2026-04-05,2026-03-30 to 2026-04-05,221,173,280,6407,5145,7888
2026-04-06,2026-04-12,2026-04-06 to 2026-04-12,279,241,348,9266,7921,10702
2026-04-13,2026-04-19,2026-04-13 to 2026-04-19,291,255,360,8919,7511,10268
2026-04-20,2026-04-26,2026-04-20 to 2026-04-26,284,247,356,8905,7487,10224
2026-04-27,2026-05-03,2026-04-27 to 2026-05-03,259,220,330,7960,6448,9197
2026-05-04,2026-05-10,2026-05-04 to 2026-05-10,229,187,295,7893,6475,9263
2026-05-11,2026-05-17,2026-05-11 to 2026-05-17,230,191,296,7378,5914,8686
2026-05-18,2026-05-24,2026-05-18 to 2026-05-24,220,176,283,6705,5209,7965
2026-05-25,2026-05-31,2026-05-25 to 2026-05-31,189,140,246,5786,4207,6981
2026-06-01,2026-06-07,2026-06-01 to 2026-06-07,145,95,199,3970,2448,5195
2026-06-08,2026-06-14,2026-06-08 to 2026-06-14,114,59,169,2962,1286,4035
2026-06-15,2026-06-21,2026-06-15 to 2026-06-21,106,53,160,2440,695,3395
2026-06-22,2026-06-28,2026-06-22 to 2026-06-28,111,56,164,2083,304,3067
2026-06-29,2026-07-05,2026-06-29 to 2026-07-05,115,62,168,2663,1149,3933
2026-07-06,2026-07-12,2026-07-06 to 2026-07-12,118,64,173,2952,1625,4415
2026-07-13,2026-07-19,2026-07-13 to 2026-07-19,114,62,169,2433,1050,3823
2026-07-20,2026-07-26,2026-07-20 to 2026-07-26,106,50,159,1586,170,2856
2026-07-27,2026-08-02,2026-07-27 to 2026-08-02,104,50,156,1933,490,3220
2026-08-03,2026-08-09,2026-08-03 to 2026-08-09,112,57,166,3086,1743,4534
2026-08-10,2026-08-16,2026-08-10 to 2026-08-16,120,68,176,2613,1259,3980
2026-08-17,2026-08-23,2026-08-17 to 2026-08-23,120,69,177,2098,666,3441
2026-08-24,2026-08-30,2026-08-24 to 2026-08-30,118,65,172,2382,984,3751
2026-08-31,2026-09-06,2026-08-31 to 2026-09-06,115,63,169,2353,923,3725
2026-09-07,2026-09-13,2026-09-07 to 2026-09-13,122,67,175,2892,1540,4299
2026-09-14,2026-09-20,2026-09-14 to 2026-09-20,134,79,187,2913,1559,4340
2026-09-21,2026-09-27,2026-09-21 to 2026-09-27,135,81,190,2378,994,3745
2026-09-28,2026-10-04,2026-09-28 to 2026-10-04,129,76,185,2876,1509,4241
2026-10-05,2026-10-11,2026-10-05 to 2026-10-11,123,70,175,3123,1794,4538
2026-10-12,2026-10-18,2026-10-12 to 2026-10-18,119,67,171,2590,1200,3940
2026-10-19,2026-10-25,2026-10-19 to 2026-10-25,132,80,184,2243,810,3596
2026-10-26,2026-11-01,2026-10-26 to 2026-11-01,170,123,228,3794,2508,5294
2026-11-02,2026-11-08,2026-11-02 to 2026-11-08,229,181,286,6911,5543,8332
2026-11-09,2026-11-15,2026-11-09 to 2026-11-15,270,227,333,7721,6386,9147
2026-11-16,2026-11-22,2026-11-16 to 2026-11-22,282,244,349,7698,6293,9056
2026-11-23,2026-11-29,2026-11-23 to 2026-11-29,281,243,349,8076,6644,9390
2026-11-30,2026-12-06,2026-11-30 to 2026-12-06,284,246,351,8266,6785,9501
2026-12-07,2026-12-13,2026-12-07 to 2026-12-13,295,257,363,8949,7555,10273
2026-12-14,2026-12-20,2026-12-14 to 2026-12-20,276,236,342,7548,6082,8811
2026-12-21,2026-12-27,2026-12-21 to 2026-12-27,279,241,347,7630,6182,8945
2026-12-28,2027-01-03,2026-12-28 to 2027-01-03,163,141,202,4860,4068,5650
