bundle_id,product_count,product_ids,product_names,categories,source,seed_size,fp_growth_support,avg_pair_count,avg_pair_support,avg_pair_confidence,avg_pair_lift,bundle_score,avg_profit_per_unit,estimated_bundle_retail_price,pair_min_count_used
1,6,"1098, 1102, 1153, 1602, 2856, 3059",Rathmal Baby Soap 75g | Baby Milk Soap 75g | Sunsilk Shampoo (Almond)180ml | Godrej Hair Colour Shampoo 10ml | Anchor Butter 227g | Signal Clove & Ginger Toothpaste 120g,Baby & Kids | Dairy & Chilled | Personal Care,fp_growth_itemset_expanded,3,0.010123947393320088,147.06666666666666,0.006957454189926516,0.3957763306121145,21.75828594415764,11.137024955060985,24.666666666666668,1490.0,8
2,6,"1335, 2048, 2141, 2204, 2367, 2700",Teepol Dishwash Gel (Lime) 500ml | Edinborough Oyster Sauce 210g | Mini Chips (curry flavour)27g | Goraka Paste 100g | Aluminium Foil 37.5sq.ft | Kist Mixed Fruit Juice 1L,Beverages | Cooking Essentials | General Grocery,fp_growth_itemset_expanded,2,0.010123947393320088,145.26666666666668,0.006872299492225692,0.39087925077945546,21.071401500654538,10.79041051540562,40.208333333333336,1855.0,8
3,6,"1148, 1253, 1265, 2461, 3058, 3146",Sunsilk Shampoo (Black)80ml | Chandanalepa Herbal Cream 12g | Misumi Soap 90g | Atlas Binder Glue 40g | Signal Toothpaste 160g | Chandanalepa Cinnamon Ayurveda Soap 100g,Personal Care | Stationery,fp_growth_itemset_expanded,3,0.011259343362664397,162.66666666666666,0.007695461570000315,0.4155342940598369,20.989194030309175,10.773166534772542,18.695,1125.0,8
4,6,"1078, 1163, 2860, 3006, 3052, 3112",P. Baby Soap (Aloe/Neem) 100g | Clear Shampoo (Ice Cool)180ml | Marvel Baby Diapers | Spinner Sugar Free 250ml | Pears Bee's Honey BabySoap 70g | Bag (Baby size),Baby & Kids | General Grocery | Personal Care | Staples & Dry Groceries,fp_growth_itemset_expanded,2,0.010123947393320088,144.53333333333333,0.0068376068376068385,0.3958335412564923,20.99680354805712,10.753903973157646,11.919999999999996,1085.0,8
5,6,"1967, 2393, 2499, 2746, 2837, 3062",Edinborough Mustard Cream165g | Kist Tomato Sauce 15g | Imorich Wonder Cone (Cooki Cream) 120ml | Misumi Romansu Soap 90g | Kumarika Shampoo 40ml | Ayush Toothpaste 30g,Cooking Essentials | Personal Care,fp_growth_itemset_expanded,3,0.010880878039549626,157.66666666666666,0.007458920743053584,0.4143842545816164,20.576943126718334,10.561965254594721,13.446666666666665,573.0,8
6,6,"1977, 2261, 2535, 2773, 3150, 3180",Edinborough Chilli Sauce230g | Sunquick  Orange Fruit Drink 200ml | CBL Potato Cracker 110g | Wijaya Noodles 400g | GreenLand Sweet Corn 425g | Edinborouah Dark Soya Sauce 600ml,Beverages | Cooking Essentials | Snacks & Confectionery | Staples & Dry Groceries,fp_growth_itemset_expanded,3,0.011306651528053742,163.73333333333332,0.007745923613082285,0.4034397517116437,20.31898134597533,10.4354410707628,17.833333333333332,1965.0,8
7,6,"1082, 1276, 1878, 1937, 2126, 3050",C.Baby Soap (floral)100g | Sunlight  (Care) 115g | Dettol Hand Wash (sensitive) 200ml | Diva Fresh (Sepalika) 400g | Sunlight 2in1 (Rose) 200g | Pears Bed Time BabySoap 70g,Baby & Kids | Cleaning & Household | General Grocery,fp_growth_itemset_expanded,3,0.010029331062541395,146.0,0.006906992146844546,0.3978714273894719,18.916837289167848,9.715919915737656,9.986666666666663,730.0,8
8,6,"1188, 1288, 1296, 1314, 1882, 1934",Baby Diaper (Softlove) 4pcs /L | Senola Soap | Vim Limes (Promo) | BIO Clean (Tile Cleaner) Kohomba | Dettol Hand Wash Refill (sensitive)175ml | Diva Fresh (Jasmine) 400g,Baby & Kids | Cleaning & Household | Personal Care,fp_growth_itemset_expanded,3,0.010975494370328319,173.8,0.008222159144668369,0.43609951312803735,18.52352396825402,9.557035020958786,17.666666666666668,1030.0,8
9,6,"1079, 1225, 1891, 1904, 1939, 2047",P. Baby Soap (Herbal) 100g | N/S Facial Wash 100ml (Carrot) | Lifebuoy Hand Wash 200ml (Green Tea) | Rin Lemon-Rose 200g | Diva Fresh (Purple lotus) 60g | Edinborough Chilli Sauce 405g,Baby & Kids | Cleaning & Household | Cooking Essentials,fp_growth_itemset_expanded,3,0.011117418866496358,161.66666666666666,0.00764815340461097,0.41723487945925236,18.44418612194323,9.500226592901608,22.873333333333335,984.0,8
10,6,"1566, 1799, 2273, 2432, 2944, 2952",Watawala Tea 400g | Asiri Sugar Candy 100g60 | Highland Dairy Ice Cream (butter scotch)1L | Little Lion Milky Cookies 200g | Daily Banana Flavoured milk 180ml | Bun Talk Sugar Cookies,Beverages | Dairy & Chilled | General Grocery | Personal Care | Staples & Dry Groceries,fp_growth_itemset_expanded,3,0.011212035197275049,162.53333333333333,0.007689153814615068,0.3992312597674707,18.37395540784139,9.460530158143238,34.06500000000002,1950.0,8
11,6,"1151, 1689, 2636, 3057, 3200, 3208",Sunsilk Shampoo (Black)180ml | Gold Hair Cream 100ml | Maliban Wafers Lemon Cream 90g | Signal Toothpaste 70g | Pears Kokum Baby Soap 2 Pack | Sunsilk Damage Restore Shampoo 80ml,Baby & Kids | Personal Care,fp_growth_itemset_expanded,3,0.011117418866496358,201.33333333333334,0.009524710631721701,0.47078736830851753,17.84520124497238,9.254331045613178,24.283333333333335,1260.0,8
12,6,"2205, 2276, 2371, 2645, 2713, 3189",Goraka Paste 250g | T.R.M. Kekulu Rice 1kg | Cooking Oil 750ml (loose) | Plaza Canned Fish 425g | Sera Turmeric Powder 25g | Fortune RBD Coconut Oil 200ml,"Cooking Essentials | General Grocery | Meat, Fish & Frozen | Staples & Dry Groceries",fp_growth_itemset_expanded,3,0.012300123001230012,195.06666666666666,0.009228246128615133,0.4471793562036846,17.21964118256967,8.928539320718244,25.833333333333332,1955.0,8
