bundle_id,product_ids,product_count,product_names,categories,movement_labels,fast_product_count,medium_product_count,slow_product_count,fp_growth_support,pair_support,avg_pair_confidence,avg_pair_lift,graph_density,connected_edges,test_exact_support,test_attachment_rate_2_plus,test_attachment_rate,test_average_overlap,test_lift,estimated_bundle_retail_price,estimated_bundle_profit,base_bundle_score,source,normal_bundle_retail_price,estimated_bundle_cost,normal_bundle_profit,suggested_discount_pct,promo_bundle_price,promo_bundle_profit,promo_profit_margin
1,"1397,1854,2019,2046,2069,2478",6,Link Paspanguwa 23g|CBL Nice Biscuits  100g|Harischandra Noodles 400g|Edinborough Tomato Sauce 375g|CocaCola 1.5L|Ritzbury Chocolate (Peanut) 45g,Cooking Essentials|General Grocery|Snacks & Confectionery|Staples & Dry Groceries,Slow|Fast|Fast|Fast|Fast|Fast,5,0,1,0.027741854357309276,0.021975591611878478,0.7136255520272787,17.12537590606319,1.0,15,0.0,0.05188679245283019,0.04929245283018868,0.3264150943396226,0.0,966.17,71.57,0.8715092416091232,adaptive_fp_growth_fast_slow,990.0,894.6,95.4,0.0241,966.17,71.57,0.0741
2,"1451,1854,2019,2046,2069,2478",6,Sustagen 400g|CBL Nice Biscuits  100g|Harischandra Noodles 400g|Edinborough Tomato Sauce 375g|CocaCola 1.5L|Ritzbury Chocolate (Peanut) 45g,Cooking Essentials|General Grocery|Snacks & Confectionery|Staples & Dry Groceries,Slow|Fast|Fast|Fast|Fast|Fast,5,0,1,0.027741854357309276,0.021963528158111666,0.7136255520272787,17.12537590606319,1.0,15,0.0,0.05188679245283019,0.04929245283018868,0.3259433962264151,0.0,4677.53,346.48,0.8715053107915132,adaptive_fp_growth_fast_slow,4790.0,4331.05,458.95,0.0235,4677.53,346.48,0.0741
3,"1275,1915,2684,3019,3043",5,Sunlight ( Lime & Orange) 115g|Sunlight 2in1 (Lemon) 1kg|Rin Detergent Powder 1kg|Vaseline Kiss of Petals 100ml|Sunlight 2Bar,Cleaning & Household|General Grocery,Fast|Fast|Fast|Slow|Fast,4,0,1,0.028989878062958985,0.02007961879486097,0.7976147876275428,21.41022956236021,1.0,10,0.0,0.045990566037735846,0.045283018867924525,0.19764150943396228,0.0,1084.91,80.36,0.8700974068233768,adaptive_fp_growth_fast_slow,1160.0,1004.55,155.45,0.0647,1084.91,80.36,0.0741
4,"1275,1915,2684,3019,3043,3187",6,Sunlight ( Lime & Orange) 115g|Sunlight 2in1 (Lemon) 1kg|Rin Detergent Powder 1kg|Vaseline Kiss of Petals 100ml|Sunlight 2Bar|Diva Power Liquid Detergent 1L,Cleaning & Household|General Grocery,Fast|Fast|Fast|Slow|Fast|Fast,5,0,1,0.028728399517052923,0.02265516617407564,0.7909532987703746,21.218571713093777,1.0,15,0.0,0.04622641509433962,0.045283018867924525,0.25141509433962267,0.0,1840.91,136.36,0.8697475545639839,adaptive_fp_growth_fast_slow,1910.0,1704.55,205.45,0.0362,1840.91,136.36,0.0741
5,"1059,1275,1915,2684,3043",5,Feeding Bottle 120ml (Rose)|Sunlight ( Lime & Orange) 115g|Sunlight 2in1 (Lemon) 1kg|Rin Detergent Powder 1kg|Sunlight 2Bar,Cleaning & Household|General Grocery,Slow|Fast|Fast|Fast|Fast,4,0,1,0.028989878062958985,0.020103745702394593,0.7976147876275428,21.41022956236021,1.0,10,0.0,0.04575471698113207,0.045283018867924525,0.1964622641509434,0.0,821.38,60.84,0.869554953993188,adaptive_fp_growth_fast_slow,855.0,760.54,94.46,0.0393,821.38,60.84,0.0741
6,"1205,1275,1915,2684,3043",5,Whisper Regular flow 20p|Sunlight ( Lime & Orange) 115g|Sunlight 2in1 (Lemon) 1kg|Rin Detergent Powder 1kg|Sunlight 2Bar,Cleaning & Household|General Grocery,Slow|Fast|Fast|Fast|Fast,4,0,1,0.028989878062958985,0.020049460160443934,0.7976147876275428,21.41022956236021,1.0,10,0.0,0.04575471698113207,0.045283018867924525,0.1964622641509434,0.0,869.98,64.44,0.869554953993188,adaptive_fp_growth_fast_slow,920.0,805.54,114.46,0.0544,869.98,64.44,0.0741
7,"1275,1915,2232,2684,3043",5,Sunlight ( Lime & Orange) 115g|Sunlight 2in1 (Lemon) 1kg|Siddhalepa Bee-Honey 90ml|Rin Detergent Powder 1kg|Sunlight 2Bar,Cleaning & Household|Health & Medicine,Fast|Fast|Slow|Fast|Fast,4,0,1,0.028989878062958985,0.02007358706797756,0.7976147876275428,21.41022956236021,1.0,10,0.0,0.04575471698113207,0.045283018867924525,0.1964622641509434,0.0,896.98,66.44,0.869554953993188,adaptive_fp_growth_fast_slow,960.0,830.54,129.46,0.0656,896.98,66.44,0.0741
8,"1122,1275,1915,2684,3043",5,Vaseline Sun+ 100ml|Sunlight ( Lime & Orange) 115g|Sunlight 2in1 (Lemon) 1kg|Rin Detergent Powder 1kg|Sunlight 2Bar,Cleaning & Household|General Grocery,Slow|Fast|Fast|Fast|Fast,4,0,1,0.028989878062958985,0.02007358706797756,0.7976147876275428,21.41022956236021,1.0,10,0.0,0.04575471698113207,0.045283018867924525,0.19622641509433963,0.0,1452.77,107.61,0.869552595502622,adaptive_fp_growth_fast_slow,1550.0,1345.16,204.84,0.0627,1452.77,107.61,0.0741
9,"1275,1381,1915,2684,3043",5,Sunlight ( Lime & Orange) 115g|Siddhalepa Balm 25g|Sunlight 2in1 (Lemon) 1kg|Rin Detergent Powder 1kg|Sunlight 2Bar,Cleaning & Household|Health & Medicine,Fast|Slow|Fast|Fast|Fast,4,0,1,0.028989878062958985,0.020061523614210746,0.7976147876275428,21.41022956236021,1.0,10,0.0,0.04575471698113207,0.045283018867924525,0.19622641509433963,0.0,737.68,54.64,0.869552595502622,adaptive_fp_growth_fast_slow,785.0,683.04,101.96,0.0603,737.68,54.64,0.0741
10,"1275,1915,2684,3043,3259",5,Sunlight ( Lime & Orange) 115g|Sunlight 2in1 (Lemon) 1kg|Rin Detergent Powder 1kg|Sunlight 2Bar|Panadol 240 Tablets,Cleaning & Household|Health & Medicine,Fast|Fast|Fast|Fast|Slow,4,0,1,0.028989878062958985,0.020061523614210753,0.7976147876275428,21.41022956236021,1.0,10,0.0,0.04575471698113207,0.045283018867924525,0.19622641509433963,0.0,1328.98,98.44,0.869552595502622,adaptive_fp_growth_fast_slow,1397.6,1230.54,167.06,0.0491,1328.98,98.44,0.0741
11,"1275,1614,1915,2684,3043",5,Sunlight ( Lime & Orange) 115g|Bic 3|Sunlight 2in1 (Lemon) 1kg|Rin Detergent Powder 1kg|Sunlight 2Bar,Cleaning & Household|General Grocery,Fast|Slow|Fast|Fast|Fast,4,0,1,0.028989878062958985,0.02005549188732734,0.7976147876275428,21.41022956236021,1.0,10,0.0002358490566037736,0.04575471698113207,0.045283018867924525,0.19599056603773585,92712.79394787831,614.02,45.48,0.869550237012056,adaptive_fp_growth_fast_slow,660.0,568.54,91.46,0.0697,614.02,45.48,0.0741
12,"1275,1915,1945,2684,3043",5,Sunlight ( Lime & Orange) 115g|Sunlight 2in1 (Lemon) 1kg|Sunquick Orange 330ml|Rin Detergent Powder 1kg|Sunlight 2Bar,Cleaning & Household|General Grocery,Fast|Fast|Slow|Fast|Fast,4,0,1,0.028989878062958985,0.02009168224862778,0.7976147876275428,21.41022956236021,1.0,10,0.0,0.04575471698113207,0.045283018867924525,0.1955188679245283,0.0,900.23,69.69,0.8695455200309239,adaptive_fp_growth_fast_slow,980.0,830.54,149.46,0.0814,900.23,69.69,0.0774
13,"1275,1915,2625,2684,3043",5,Sunlight ( Lime & Orange) 115g|Sunlight 2in1 (Lemon) 1kg|Moldivefish (Dry) 1kg|Rin Detergent Powder 1kg|Sunlight 2Bar,Cleaning & Household|General Grocery,Fast|Fast|Slow|Fast|Fast,4,0,1,0.028989878062958985,0.02009771397551119,0.7976147876275428,21.41022956236021,1.0,10,0.0,0.04575471698113207,0.045283018867924525,0.1955188679245283,0.0,2354.98,174.44,0.8695455200309239,adaptive_fp_growth_fast_slow,2460.0,2180.54,279.46,0.0427,2354.98,174.44,0.0741
14,"1275,1388,1915,2684,3187",5,Sunlight ( Lime & Orange) 115g|Iodex Balm 2.5g|Sunlight 2in1 (Lemon) 1kg|Rin Detergent Powder 1kg|Diva Power Liquid Detergent 1L,Cleaning & Household|Health & Medicine,Fast|Slow|Fast|Fast|Fast,4,0,1,0.028989003899642554,0.020043428433560526,0.7973873727177972,21.397259627236476,1.0,10,0.0,0.04575471698113207,0.045283018867924525,0.19669811320754718,0.0,1189.66,88.12,0.8695232002472922,adaptive_fp_growth_fast_slow,1220.0,1101.54,118.46,0.0249,1189.66,88.12,0.0741
15,"1275,1915,2118,2684,3187",5,Sunlight ( Lime & Orange) 115g|Sunlight 2in1 (Lemon) 1kg|Signal Deep Clean (T.B)|Rin Detergent Powder 1kg|Diva Power Liquid Detergent 1L,Cleaning & Household|General Grocery,Fast|Fast|Slow|Fast|Fast,4,0,1,0.028989003899642554,0.02007358706797756,0.7973873727177972,21.397259627236476,1.0,10,0.0,0.04575471698113207,0.045283018867924525,0.1964622641509434,0.0,1223.19,90.61,0.8695208417567262,adaptive_fp_growth_fast_slow,1258.0,1132.58,125.42,0.0277,1223.19,90.61,0.0741
16,"1059,1275,1915,2684,3043,3187",6,Feeding Bottle 120ml (Rose)|Sunlight ( Lime & Orange) 115g|Sunlight 2in1 (Lemon) 1kg|Rin Detergent Powder 1kg|Sunlight 2Bar|Diva Power Liquid Detergent 1L,Cleaning & Household|General Grocery,Slow|Fast|Fast|Fast|Fast|Fast,5,0,1,0.028728399517052923,0.022675271930353662,0.7909532987703746,21.218571713093777,1.0,15,0.0,0.045990566037735846,0.045283018867924525,0.2502358490566038,0.0,1577.38,116.84,0.8692070671426002,adaptive_fp_growth_fast_slow,1605.0,1460.54,144.46,0.0172,1577.38,116.84,0.0741
17,"1205,1275,1915,2684,3043,3187",6,Whisper Regular flow 20p|Sunlight ( Lime & Orange) 115g|Sunlight 2in1 (Lemon) 1kg|Rin Detergent Powder 1kg|Sunlight 2Bar|Diva Power Liquid Detergent 1L,Cleaning & Household|General Grocery,Slow|Fast|Fast|Fast|Fast|Fast,5,0,1,0.028728399517052923,0.022631039266542013,0.7909532987703746,21.218571713093777,1.0,15,0.0,0.045990566037735846,0.045283018867924525,0.2502358490566038,0.0,1625.98,120.44,0.8692070671426002,adaptive_fp_growth_fast_slow,1670.0,1505.54,164.46,0.0264,1625.98,120.44,0.0741
18,"1275,1388,1915,2684,3043,3187",6,Sunlight ( Lime & Orange) 115g|Iodex Balm 2.5g|Sunlight 2in1 (Lemon) 1kg|Rin Detergent Powder 1kg|Sunlight 2Bar|Diva Power Liquid Detergent 1L,Cleaning & Household|Health & Medicine,Fast|Slow|Fast|Fast|Fast|Fast,5,0,1,0.028728399517052923,0.022631039266542013,0.7909532987703746,21.218571713093777,1.0,15,0.0,0.045990566037735846,0.045283018867924525,0.2502358490566038,0.0,1308.46,96.92,0.8692070671426002,adaptive_fp_growth_fast_slow,1345.0,1211.54,133.46,0.0272,1308.46,96.92,0.0741
19,"1275,1915,2232,2684,3043,3187",6,Sunlight ( Lime & Orange) 115g|Sunlight 2in1 (Lemon) 1kg|Siddhalepa Bee-Honey 90ml|Rin Detergent Powder 1kg|Sunlight 2Bar|Diva Power Liquid Detergent 1L,Cleaning & Household|Health & Medicine,Fast|Fast|Slow|Fast|Fast|Fast,5,0,1,0.028728399517052923,0.02265114502282004,0.7909532987703746,21.218571713093777,1.0,15,0.0,0.045990566037735846,0.045283018867924525,0.2502358490566038,0.0,1652.98,122.44,0.8692070671426002,adaptive_fp_growth_fast_slow,1710.0,1530.54,179.46,0.0333,1652.98,122.44,0.0741
