period_start,period_type,product_id,product_name,category,profile_mean_quantity,seasonal_month_mean_quantity,overall_quantity,overall_transactions,predicted_movement_level,probability_fast_moving,probability_medium_moving,probability_slow_moving,movement_confidence,movement_score
2026-01-01,month,1043,Baby Cheramy Oil 100ml,Baby & Kids,63.958333333333336,103.5,1535,345,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,1060,P.Baby Cologne (magic) 50ml,Baby & Kids,27.75,34.0,666,372,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,1069,P.Baby Cream (Bedtime) 100ml,Baby & Kids,27.541666666666668,35.0,661,376,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,1077,P. Baby Soap (Babytime) 100g,Baby & Kids,24.416666666666668,31.0,586,353,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,1078,P. Baby Soap (Aloe/Neem) 100g,Baby & Kids,28.583333333333332,34.0,686,395,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,1079,P. Baby Soap (Herbal) 100g,Baby & Kids,28.583333333333332,38.0,686,387,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,1082,C.Baby Soap (floral)100g,Baby & Kids,31.666666666666668,40.0,760,413,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,1091,K. Baby Soap (Avocado) 90g,Baby & Kids,27.25,31.0,654,368,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,1098,Rathmal Baby Soap 75g,Baby & Kids,27.875,35.5,669,378,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,1102,Baby Milk Soap 75g,Baby & Kids,27.25,37.0,654,383,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,1116,7Oil,General Grocery,36.5,43.0,876,198,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,1119,Silicone oil 25ml,Cooking Essentials,68.16666666666667,107.5,1636,385,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,1120,Axe oil 3ml,Cooking Essentials,8.24,15.5,206,54,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,1121,Axe oil 5ml,Cooking Essentials,68.41666666666667,112.5,1642,398,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,1148,Sunsilk Shampoo (Black)80ml,Personal Care,28.375,44.5,681,393,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,1151,Sunsilk Shampoo (Black)180ml,Personal Care,52.5,81.0,1260,739,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,1152,Sunsilk Shampoo (Green Tea)180ml,Personal Care,25.416666666666668,39.0,610,339,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,1153,Sunsilk Shampoo (Almond)180ml,Personal Care,25.958333333333332,30.0,623,360,Fast Moving,1.0,0.0,0.0,1.0,1.0
