period_start,period_type,product_id,product_name,category,profile_mean_quantity,seasonal_month_mean_quantity,overall_quantity,overall_transactions,predicted_movement_level,probability_fast_moving,probability_medium_moving,probability_slow_moving,movement_confidence,movement_score
2026-01-12,week,1043,Baby Cheramy Oil 100ml,Baby & Kids,15.505050505050505,27.555555555555557,1535,345,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-12,week,1151,Sunsilk Shampoo (Black)180ml,Personal Care,12.0,18.22222222222222,1260,739,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-12,week,1166,Dove Shampoo (Intense) 180ml,Personal Care,13.123809523809523,20.555555555555557,1378,763,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-12,week,1188,Baby Diaper (Softlove) 4pcs /L,Baby & Kids,18.228571428571428,28.333333333333332,1914,1127,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-12,week,1416,Highland  Vanilla Milk 180ml,Dairy & Chilled,15.904761904761905,24.22222222222222,1670,871,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-12,week,1418,Highland Fresh Milk 900ml,Dairy & Chilled,8.480392156862745,14.11111111111111,865,448,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-12,week,1449,Milo Drink 180ml,Beverages,21.83809523809524,32.0,2293,877,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-12,week,1478,White Sugar 1kg (Pkt),Staples & Dry Groceries,75.46666666666667,70.22222222222223,7924,1766,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-12,week,1479,White Sugar 1kg,Staples & Dry Groceries,79.13333333333334,91.44444444444444,8309,1849,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-12,week,1496,Tiara Layer Cake (Chocolate)310g,Snacks & Confectionery,26.914285714285715,38.22222222222222,2826,1005,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-12,week,1564,Watawala Tea 100g,Beverages,28.590476190476192,43.666666666666664,3002,1117,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-12,week,1567,Watawala Ayurvedic Tea 160g,Beverages,17.63809523809524,24.444444444444443,1852,685,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-12,week,1570,Zesta Tea (BOPF) 195g,Beverages,7.931034482758621,22.625,690,243,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-12,week,1575,Dilmah Strong Tea 100g,Beverages,12.78640776699029,26.333333333333332,1317,462,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-12,week,1635,Ritzbury  Chunky-Choc (Classic)200g,General Grocery,17.304761904761904,21.444444444444443,1817,954,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-12,week,1657,Motha Icing Sugar 1kg,Staples & Dry Groceries,26.90566037735849,23.333333333333332,2852,683,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-12,week,1789,Asiri Ddevilled Dhal 100g,Staples & Dry Groceries,16.153846153846153,33.22222222222222,1680,404,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-12,week,1818,CBL Bran Cracker 160g,Snacks & Confectionery,12.96039603960396,24.555555555555557,1309,446,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-12,week,1836,Maliban Ginger Biscuit 370g,Cooking Essentials,39.625,55.888888888888886,4121,955,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-12,week,1852,CBL Ginger Biscuits 85g,Cooking Essentials,29.24271844660194,47.333333333333336,3012,703,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-12,week,1853,CBL Ginger Biscuits 400g,Cooking Essentials,45.0,74.0,4725,1122,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-12,week,1854,CBL Nice Biscuits  100g,Snacks & Confectionery,56.75238095238095,79.11111111111111,5959,2151,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-12,week,1878,Dettol Hand Wash (sensitive) 200ml,Cleaning & Household,10.451923076923077,16.77777777777778,1087,610,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-12,week,1977,Edinborough Chilli Sauce230g,Cooking Essentials,17.666666666666668,32.111111111111114,1802,417,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-12,week,2002,Ocean Star Canned Fish 425g,"Meat, Fish & Frozen",19.723809523809525,23.555555555555557,2071,1047,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-12,week,2003,Ocean Star Canned Fish 155g,"Meat, Fish & Frozen",14.285714285714286,21.333333333333332,1500,789,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-12,week,2008,Marina Coconut Oil 350ml,Cooking Essentials,44.82857142857143,67.77777777777777,4707,1104,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-12,week,2012,Marina Vegetable Oil 500ml,Cooking Essentials,17.451923076923077,18.555555555555557,1815,443,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-12,week,2016,Fortune Coconut Oil 675ml,Cooking Essentials,19.85576923076923,31.333333333333332,2065,483,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-12,week,2019,Harischandra Noodles 400g,Staples & Dry Groceries,40.51428571428571,60.888888888888886,4254,1019,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-12,week,2020,Harischandra Noodles 400g (2minutes),Staples & Dry Groceries,32.647619047619045,48.55555555555556,3428,804,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-12,week,2036,Prima Instant Noodles 345g,Staples & Dry Groceries,15.509803921568627,24.77777777777778,1582,386,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-12,week,2045,Edinborough Tomato Sauce 405g,Cooking Essentials,41.2,68.44444444444444,4326,1039,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-12,week,2046,Edinborough Tomato Sauce 375g,Cooking Essentials,39.0,66.22222222222223,4095,1018,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-12,week,2048,Edinborough Oyster Sauce 210g,Cooking Essentials,15.96,27.88888888888889,1596,380,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-12,week,2056,Maggi Coconut Milk Powder 125g,Dairy & Chilled,73.2,108.55555555555556,7686,1804,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-12,week,2059,Renuka Coconut Milk Powder 300g,Dairy & Chilled,29.238095238095237,42.22222222222222,3070,737,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-12,week,2068,CocaCola 1050ml,General Grocery,17.476190476190474,20.444444444444443,1835,954,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-12,week,2170,Wijaya Curry Powder 50g,Cooking Essentials,33.57142857142857,57.44444444444444,3525,835,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-12,week,2172,Wijaya Curry Powder 250g,Cooking Essentials,43.161904761904765,49.888888888888886,4532,1028,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-12,week,2176,Wijaya Roasted Curry Powder 50g,Cooking Essentials,18.0873786407767,23.88888888888889,1863,430,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-12,week,2190,Freelan Meat Curry Powder 250g,Cooking Essentials,16.176470588235293,28.0,1650,399,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-12,week,2279,Araliya Premium Samba Rice 1kg,Staples & Dry Groceries,39.24761904761905,58.22222222222222,4121,998,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-12,week,2280,Araliya Premium Nadu Rice 1kg,Staples & Dry Groceries,46.371428571428574,49.77777777777778,4869,1098,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-12,week,2294,Atlas Single Ruled Book 200page,Stationery,8.74074074074074,31.666666666666668,708,366,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-12,week,2299,Atlas CR Book Single Ruled (80p),Stationery,4.642857142857143,12.222222222222221,390,205,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-12,week,2329,"Kome Rice Cracker 45g (B,B,Q)",Staples & Dry Groceries,11.904255319148936,21.22222222222222,1119,263,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-12,week,2344,Coconut Oil 750ml (loose),Cooking Essentials,46.97142857142857,49.55555555555556,4932,1131,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-12,week,2378,Zesta Tea (BOPF) 390g,Beverages,26.761904761904763,40.0,2810,1003,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-12,week,2393,Kist Tomato Sauce 15g,Cooking Essentials,17.166666666666668,29.88888888888889,1751,431,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-12,week,2401,Atlas CR Book Single Ruled (200p),Stationery,7.4186046511627906,27.333333333333332,638,314,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-12,week,2432,Little Lion Milky Cookies 200g,General Grocery,8.931372549019608,18.22222222222222,911,470,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-12,week,2456,Atlas Colour Pencils 6,Stationery,7.766233766233766,25.555555555555557,598,313,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-12,week,2460,Atlas Binder Glue Pen 40g,Stationery,7.406976744186046,24.666666666666668,637,334,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-12,week,2461,Atlas Binder Glue 40g,Stationery,6.6,23.555555555555557,561,300,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-12,week,2478,Ritzbury Chocolate (Peanut) 45g,Snacks & Confectionery,26.247619047619047,33.888888888888886,2756,967,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-12,week,2504,Atlas Max pen,Stationery,7.114942528735632,23.88888888888889,619,320,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-12,week,2510,Kakulu-Samba Rice 1kg,Staples & Dry Groceries,17.971153846153847,27.555555555555557,1869,462,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-12,week,2512,Pears Baby Soap (Aloevera) 95g,Baby & Kids,15.161904761904761,22.555555555555557,1592,896,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-12,week,2514,Pears Baby Oil (Olive Oil) 100ml,Baby & Kids,35.40952380952381,49.666666666666664,3718,901,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-12,week,2517,Sunlight Care Liquid 1L,Cleaning & Household,11.266666666666667,16.0,1183,710,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-12,week,2568,Atlas Pencils (Yellow),Stationery,7.175824175824176,23.88888888888889,653,340,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-12,week,2569,Atlas Colour Pencils,Stationery,7.869047619047619,26.88888888888889,661,335,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-12,week,2575,Atlas Adhesive Tape 1/2'',Stationery,8.2987012987013,27.555555555555557,639,319,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-12,week,2603,Rin Detergent Powder 500g,Cleaning & Household,11.647619047619047,16.0,1223,720,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-12,week,2669,San Remo Pasta (Penne) 500g,Staples & Dry Groceries,10.554347826086957,26.0,971,234,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-12,week,2713,Sera Turmeric Powder 25g,Cooking Essentials,28.123809523809523,43.77777777777778,2953,720,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-12,week,2736,Maldive Fish Bottle 100g,Cooking Essentials,16.77227722772277,25.333333333333332,1694,408,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-12,week,2832,Closeup Toothpaste 120g,Personal Care,12.076190476190476,18.77777777777778,1268,749,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-12,week,2861,Coconut Milk 500ml,Dairy & Chilled,44.98095238095238,46.22222222222222,4723,1105,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-12,week,3018,LifeBuoy Shampoo 175ml,Personal Care,12.514285714285714,16.88888888888889,1314,741,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-12,week,3043,Sunlight 2Bar,Cleaning & Household,15.80952380952381,17.666666666666668,1660,960,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-12,week,3055,Signal Toothpaste 120g,Personal Care,15.438095238095238,17.0,1621,940,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-12,week,3057,Signal Toothpaste 70g,Personal Care,16.257142857142856,24.444444444444443,1707,980,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-12,week,3060,Signal Triple Clean Adult Toothbrush,Personal Care,12.914285714285715,18.666666666666668,1356,793,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-12,week,3063,Ayush Toothpaste 110g,Personal Care,12.495238095238095,17.88888888888889,1312,773,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-12,week,3080,BabyCheramy Moisturizes & Cares Baby Shampoo 100ml,Baby & Kids,11.0,18.11111111111111,1155,682,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-12,week,3116,Candy Sugar 80g,Staples & Dry Groceries,28.752380952380953,41.888888888888886,3019,748,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-12,week,3119,Rice Flakes (Samuel's Product) 200g,Staples & Dry Groceries,18.436893203883496,29.333333333333332,1899,438,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-12,week,3144,GoodKnight Mosquito Coil 10Hours,General Grocery,37.02857142857143,58.111111111111114,3888,918,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-12,week,3155,Sunlight 2in1 500g,Cleaning & Household,11.647619047619047,17.0,1223,710,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-12,week,3189,Fortune RBD Coconut Oil 200ml,Cooking Essentials,28.580952380952382,38.44444444444444,3001,717,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-12,week,3190,Fortune Cooking Oil RBD Palm Olein 2L,Cooking Essentials,15.764705882352942,26.555555555555557,1608,395,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-12,week,3194,Rexona Kohomba & Turmeric Soap 80g,Personal Care,13.85576923076923,19.22222222222222,1441,839,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-12,week,3195,Rexona Jasmine & olive oil Soap 80g,Personal Care,31.37142857142857,52.111111111111114,3294,781,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-12,week,2179,Wijaya Mustard Powder 50g,Cooking Essentials,3.75,11.0,240,60,Fast Moving,0.9990324740823212,0.0007883072409890551,0.0001792186766897135,0.9990324740823212,0.9994266277028158
2026-01-12,week,2303,Atlas CR Book Square Ruled (80p),Stationery,4.9,14.777777777777779,441,223,Fast Moving,0.9904800896213782,0.00939505573487586,0.0001248546437460803,0.9904800896213782,0.9951776174888162
2026-01-12,week,2261,Sunquick  Orange Fruit Drink 200ml,Beverages,11.752475247524753,19.88888888888889,1187,404,Fast Moving,0.9849353100159051,0.01444838168150794,0.0006163083025869766,0.9849353100159051,0.992159500856659
2026-01-12,week,1904,Rin Lemon-Rose 200g,Cleaning & Household,11.352380952380953,14.666666666666666,1192,700,Fast Moving,0.9822723111086858,0.017663281058643045,6.440783267101235e-05,0.9822723111086858,0.9911039516380074
2026-01-12,week,2814,Baby Cheramy Shampoo 100ml,Baby & Kids,11.228571428571428,16.333333333333332,1179,683,Fast Moving,0.977357660067015,0.02256097185293624,8.136808004873989e-05,0.977357660067015,0.9886381459934831
2026-01-12,week,2276,T.R.M. Kekulu Rice 1kg,Staples & Dry Groceries,19.425742574257427,20.555555555555557,1962,463,Fast Moving,0.976346456735645,0.02320682059538482,0.0004467226689704367,0.976346456735645,0.9879498670333374
2026-01-12,week,2330,"Kome Rice Cracker 90G (B,B,Q)",Staples & Dry Groceries,20.89108910891089,34.0,2110,466,Fast Moving,0.9756013426434194,0.024313341266554586,8.531609002626195e-05,0.9756013426434194,0.9877580132766967
2026-01-12,week,2457,Atlas Kidz Clay 100g,Stationery,4.887640449438202,13.666666666666666,435,226,Fast Moving,0.9738965047984115,0.025890333237714547,0.00021316196387407952,0.9738965047984115,0.9868416714172688
2026-01-12,week,2877,CBL Wafer Stix 55g strawberry,Snacks & Confectionery,10.96039603960396,19.333333333333332,1107,386,Fast Moving,0.9703954019495085,0.028010349023936756,0.0015942490265548595,0.9703954019495085,0.9844005764614768
2026-01-12,week,3206,Pears Baby Cream 100ml,Baby & Kids,11.771428571428572,15.222222222222221,1236,702,Fast Moving,0.967901105208042,0.032068700741617856,3.0194050340334195e-05,0.967901105208042,0.9839354555788509
2026-01-12,week,1870,Little Lion Choco Cookies 180g,General Grocery,8.019417475728156,13.666666666666666,826,421,Fast Moving,0.9680476283831414,0.03174302979046086,0.00020934182639778661,0.9680476283831414,0.9839191432783718
2026-01-12,week,2579,Bill Book (small),Stationery,4.494252873563219,12.0,391,200,Fast Moving,0.9681794227383671,0.030169785076102688,0.0016507921855299977,0.9681794227383671,0.9832643152764184
2026-01-12,week,3180,Edinborouah Dark Soya Sauce 600ml,Cooking Essentials,14.77450980392157,21.88888888888889,1507,388,Fast Moving,0.9661337698481854,0.033853898476458096,1.2331675356602959e-05,0.9661337698481854,0.9830607190864145
2026-01-12,week,1574,Dilmah Leaf-Tea (BOPF) 100g,Beverages,9.683168316831683,17.0,978,371,Fast Moving,0.9649956002036726,0.03493457627949337,6.982351683397281e-05,0.9649956002036726,0.9824628883434192
2026-01-12,week,1119,Silicone oil 25ml,Cooking Essentials,16.8659793814433,23.11111111111111,1636,385,Fast Moving,0.9821258560669721,0.0,0.01787414393302752,0.9821258560669721,0.9821258560669721
2026-01-12,week,3150,GreenLand Sweet Corn 425g,Snacks & Confectionery,10.805825242718447,18.444444444444443,1113,413,Fast Moving,0.9641318136723117,0.03586108959967577,7.096728012582626e-06,0.9641318136723117,0.9820623584721496
2026-01-12,week,2928,Revello Dark Chocolate 100g,Snacks & Confectionery,11.73,18.555555555555557,1173,404,Fast Moving,0.9613917896804122,0.03858938060623183,1.882971335594323e-05,0.9613917896804122,0.9806864799835281
2026-01-12,week,1121,Axe oil 5ml,Cooking Essentials,15.941747572815533,27.0,1642,398,Fast Moving,0.9610269470901859,0.03859810936818716,0.0003749435416271113,0.9610269470901859,0.9803260017742794
2026-01-12,week,3187,Diva Power Liquid Detergent 1L,Cleaning & Household,15.514285714285714,18.22222222222222,1629,966,Fast Moving,0.9605965652696704,0.039395525314734704,7.909415594414602e-06,0.9605965652696704,0.9802943279270377
2026-01-12,week,2010,Marina Coconut Oil 500ml,Cooking Essentials,13.576086956521738,13.125,1249,282,Fast Moving,0.9794494653459621,0.0,0.020550534654038104,0.9794494653459621,0.9794494653459621
