feature,importance
total_quantity_sold,0.19264748313046826
high_demand_quantity,0.11955666429627752
invoice_count,0.11668213093355806
sales_frequency_per_day,0.1073264324599668
active_days,0.10221951822481093
active_months,0.06703917947327429
avg_monthly_quantity,0.05386633806033292
normal_month_quantity,0.043725672208817165
std_monthly_quantity,0.03969016970536719
max_monthly_quantity,0.027397668890255144
total_revenue,0.016735864054719204
high_demand_revenue,0.013579643897010805
selling_period_days,0.011514886592964084
category_General Grocery,0.011165249201024578
total_profit,0.010857671045029863
normal_month_revenue,0.009889751650299464
avg_quantity_per_line,0.008394076594371799
avg_quantity_per_invoice,0.007809366786086461
recency_days,0.006468138788231457
normal_month_quantity_share,0.004150281380507516
cost_price,0.0039154878836714984
avg_revenue_per_invoice,0.003792449150821218
max_quantity_per_line,0.003695756149616612
avg_profit_per_invoice,0.0034856083475264623
high_demand_quantity_share,0.003463203060433365
retail_price,0.0032861212795000476
profit_margin,0.0028541966546422074
unit_profit,0.0021371412306175224
category_Personal Care,0.0006280606708332392
category_Health & Medicine,0.00038537938343135116
category_Staples & Dry Groceries,0.00024839229313658077
category_Cleaning & Household,0.0002313939777589114
"category_Meat, Fish & Frozen",0.00021848765396040087
category_Baby & Kids,0.00019654680675638763
category_Beverages,0.00018808395991722394
category_Snacks & Confectionery,0.00018356621993048552
category_Dairy & Chilled,0.00018346825759445979
min_monthly_quantity,0.00012189480045272511
category_Cooking Essentials,4.417760088152754e-05
category_Stationery,2.439724514432018e-05
